"Ticket";"Tipo de ticket";"Cliente";"Unidade de Negócio";"Contato";"Categoria";"Técnico";"Data de criação";"Data de finalização";"Situação";"Setor do Solicitante";"Mesa de trabalho";"Avaliação";"Descrição"
2092;"Finalizado e solucionado com sucesso";"FREITAS EXPRESS - JUREMA";"---";"Thais Oliveira,Lucas Freitas Express Jurema";"TEF / Erro ao finalizar venda";"Saulo Felipe";"31/12/2023 12:33";"31/12/2023 12:34";"Finalizado";"Frente de loja";"Suporte Técnico";;"Problema no TEF, mas normalizou sozinho. Acessei o servidor e estava tudo normal. Logo depois o usuário informou que havia normalizado."
2091;"Finalizado e solucionado com sucesso";"Assis da Picanha";"---";"Edgard";"Infraestrutura - problema";"Saulo Felipe";"31/12/2023 12:08";"31/12/2023 14:16";"Finalizado";"Frente de loja";"Suporte Técnico";;"Ativação e associação do MFE em caixa reserva."
2090;"Finalizado e solucionado com sucesso";"CARNEIRO PRIME";"---";"Lara Rebeca,Lara Rebeca,Carneiro Prime,Lara Rebeca (Carneiro Prime Maraponga)";"Sincronizador";"Saulo Felipe";"31/12/2023 11:27";"31/12/2023 11:29";"Finalizado";"Frente de loja";"Suporte Técnico";;"Verificar se havia vendas/caixas presos. Acessei o servidor e não havia caixas/vendas presas. Tudo ok! Usuário(a) ciente."
2089;"Finalizado e solucionado com sucesso";"Estaleiro do Gaucho";"---";"Julio,Jamila - estaleiro,jOÃO victor - estaleiro do Gaucho";"Falta de Interação";"Saulo Felipe";"31/12/2023 10:49";"31/12/2023 10:52";"Finalizado";"Administrativo";"Suporte Técnico";3;"Pediu para não parar o servidor na madrugada e desejou um feliz ano novo. Perguntei se ajuda em algo mais e depois se o horário de funcionamento do estabelecimento no dia 01/01/2024 e se o contador havia informado sobre a mudança de alíquota do ICMS, porém não respondeu mais e o atendimento foi finalizado por falta de interação."
2088;"Finalizado e solucionado com sucesso";"NOELIA DOCES E SALGADOS - UNIDADE RIO MAR";"---";"Noelia Rio Mar";"Integração delivery - duvidas";"Saulo Felipe";"31/12/2023 10:45";"31/12/2023 10:48";"Finalizado";"Frente de loja";"Suporte Técnico";;"Pedidos das encomendas não estão imprimindo. Ao acessar verifiquei o aplicativo Integrador e Gestor de pedidos Ifood, mas não constava nenhum pedido registrado. Não era problema de impressora apenas não havia pedidos."
2087;"Finalizado e solucionado com sucesso";"RAIZ COZINHA BRASILEIRA";"---";"Raiz Cozinha Brasileira";"Administrativo - Dúvidas / Cadastrar participante";"Saulo Felipe";"31/12/2023 10:09";"06/01/2024 19:44";"Finalizado";"Frente de loja";"Suporte Técnico";;"Alteração de senha de colaborador. Enviado prints das telas orientando como realizar a alteração de senha conseguindo realizar o procedimento com sucesso."
2086;"Finalizado e solucionado com sucesso";"IZZY WAY - FILIAL SP";"---";"Saulo ";"Outros";"Matheus Solon";"30/12/2023 23:41";"30/12/2023 23:42";"Finalizado";"Frente de loja";"Suporte Técnico";;"resolvido sem ajuda do suporte"
2085;"Finalizado e solucionado com sucesso";"CASA KAIADA RESTAURANTE";"---";"Victor melo,Kasa Kaiada";"Ipos Desktop (PDV) - duvidas";"Matheus Solon";"30/12/2023 21:39";"30/12/2023 21:39";"Finalizado";"Frente de loja";"Suporte Técnico";;"ajuda para localizar venda encerrada indevidamente pelo garçom no pdv"
2084;"Bug";"BISCOITOS BRIEJER - QUARTIER";"---";"Andreza,TEKA,Jaqueline - Quartier,Luana - Biscoito Briejer,Sara (Briejer Quartier)";"Ipos Desktop (PDV) - problema";"Matheus Solon";"30/12/2023 21:23";"";"A fazer";"Frente de loja";"Desenvolvimento";;"venda encerrada e emitida cupom fiscal, não consta como encerrada no caixa, consta como aberta, porem o documento fiscal consta no erp"
2083;"Finalizado e solucionado com sucesso";"NOELIA DOCES E SALGADOS - UNIDADE MONTESE";"---";"Noelia montese,Noelia montese";"Sincronizador";"Matheus Solon";"30/12/2023 21:14";"";"A fazer";"Frente de loja";"Suporte Técnico";;"sincronizar vendas"
2082;"Bug";"NOELIA DOCES E SALGADOS - UNIDADE ALDEOTA";"---";"Silvia - Noelia,Noelia Aldeota";"Ipos Desktop (PDV) - problema";"Henrique Felipe";"30/12/2023 20:11";"";"A fazer";"Frente de loja";"Desenvolvimento";;"encomendas do logaroo não estão cancelando no pdv mesmo depois de aparecer a mensagem cancelado com sucesso ex: encomendas de numero 114718 e 114628"
2081;"Finalizado e solucionado com sucesso";"MAKETTO - FATIMA";"---";"Erika,Maketto,Felipe";"Sincronizador";"Guilherme Lima";"30/12/2023 20:10";"30/12/2023 20:11";"Finalizado";"Frente de loja";"Suporte Técnico";5;"Problema do insert na tabela de preço - Salvei os produtos restantes"
2080;"Finalizado e solucionado com sucesso";"NOELIA DOCES E SALGADOS - UNIDADE ALDEOTA";"---";"Silvia - Noelia,Noelia Aldeota";"Ipos Desktop (PDV) - duvidas";"Guilherme Lima";"30/12/2023 19:41";"30/12/2023 19:42";"Finalizado";"Frente de loja";"Suporte Técnico";;"Alterado o status da encomendas para pendente"
2079;"Finalizado e solucionado com sucesso";"BABBI OSTERIA";"---";"Aline (babbi),Cleiton (Babbi Osteria)";"Fiscal - duvidas";"Guilherme Lima";"30/12/2023 19:40";"30/12/2023 19:41";"Finalizado";"Frente de loja";"Suporte Técnico";;"Alteração da aliq do ICMS no dia 01/01/2024 - INFORMADO QUE IREMOS ALTERAR MAS CLIENTE INFORMOU QUE IRA ENTRAR EM CONTATO TAMBEM"
2078;"Finalizado e solucionado com sucesso";"FREITAS EXPRESS - PARANGABA";"---";" Leonardo Porto(Dono) - Freitas Parangaba,Junior Felix (Freitas Parangaba),Junior Felix - Freitas pa";"Ipos Desktop (PDV) - duvidas";"Guilherme Lima";"30/12/2023 19:22";"30/12/2023 19:23";"Finalizado";"Frente de loja";"Suporte Técnico";;"Foi habilitado o participante a pagar por crediário Participante: 351348"
2077;"Finalizado e solucionado com sucesso";"FREITAS EXPRESS - SOLARES";"---";"Freitas Express Solari, Elma Lahana Freitas-Shopping Solaris,Freitas Solares,Freitas express Solares";"Servidor";"Guilherme Lima";"30/12/2023 19:10";"30/12/2023 19:11";"Finalizado";"Frente de loja";"Suporte Técnico";;"Cliente entrou em contato novamente sobre lentidão no servidor na Freitas  SOLARESS, Informei: Para evitar mais lentidão e travamentos, aconselho deixar o sincronizador parado por enquanto , porque tá o Windows tá sobrecarregado e o servidor tá com muitos processos"
2076;"Finalizado e solucionado com sucesso";"FREITAS EXPRESS - MARACANAU";"---";"Freitas Express Parangaba,Freitas Express Maracanau,Freitas express maracanau";"Ipos Desktop (PDV) - problema";"Guilherme Lima";"30/12/2023 19:01";"30/12/2023 19:03";"Finalizado";"Frente de loja";"Suporte Técnico";;"Cliente entrou em contato informando que tinha um cadastro de participante com um código porem no PDV era um nome e no ERP seria outro nome, falei no grupo Henrique pediu para alterar o cadastro do ERP, aconselhei o cliente a realizar essa operação mas não teve mais retorno, irei encerrar o atendimento. Código do participante em questão: 353776"
2075;"Bug";"BOLARIA RAFAELA FONTES - AYRTON SENNA";"---";"Gabriel";"Ipos Desktop (PDV) - problema";"Guilherme Lima";"30/12/2023 18:47";"";"A fazer";"Frente de loja";"Desenvolvimento";;"Problema de duplicidade ao enviar documentos em contingencia, alterei o sequencia no frente de caixa porem nao normalizou, para cliente nao ficar esperando por mais tempo, informei que: O setor informou que resolverá a questão deste documento em até 48 horas úteis. Entraremos em contato assim que obtivermos um retorno"
2074;"Finalizado e solucionado com sucesso";"NOELIA DOCES E SALGADOS - UNIDADE MONTESE";"---";"Noelia";"Servidor";"Guilherme Lima";"30/12/2023 18:34";"30/12/2023 18:35";"Finalizado";"Frente de loja";"Suporte Técnico";;"interação Cliente entrou em contato para sincronizar as vendas mas não me respondeu"
2073;"Finalizado e solucionado com sucesso";"TORTEL� MEIRELES";"---";"Tortelê Meireles";"Ipos Desktop (PDV) - duvidas";"Guilherme Lima";"30/12/2023 18:33";"30/12/2023 18:33";"Finalizado";"Frente de loja";"Suporte Técnico";;"Cliente reclamou de lentidão no PDV, limpei a temp mas continua com lentidao Informei> Parece que a lentidão pode ser causada pelo hardware; o computador possui apenas 4 GB de memória RAM. Acredito que aumentar para 8 GB irá significativamente melhorar a lentidão e evitar travamentos."
2072;"Finalizado e solucionado com sucesso";"OLLIS BURGUER";"---";" Alan Gerente Ollis Burger";"Movimentação - duvidas";"Guilherme Lima";"30/12/2023 17:12";"30/12/2023 17:12";"Finalizado";"Administrativo";"Suporte Técnico";;"Duvidas com produtos, cliente estava tentando desativar um produto para venda, porem estava desativando o produto com outro codigo"
2071;"Finalizado e solucionado com sucesso";"BARNEYS BURGER - MT";"---";"Caroline castro,Luziana  - Barneys Aldeota,Flavio Barneys,Barneys (Maria Tomazia),Barneys MT,Pim Foo";"Servidor";"Guilherme Lima";"30/12/2023 17:05";"30/12/2023 17:05";"Finalizado";"Frente de loja";"Suporte Técnico";5;"Foi reiniciado o serviço do SQL AGENTE e o PDV abriu normalmente"
2070;"Finalizado e solucionado com sucesso";"BOLARIA RAFAELA FONTES - SATELITE";"---";"Bolaria Rafaela Fontes - Satelite";"Ipos Desktop (PDV) - duvidas";"Guilherme Lima";"30/12/2023 16:59";"30/12/2023 16:59";"Finalizado";"Frente de loja";"Suporte Técnico";2;"Entrou em contato mas resolveu na hora sozinha"
2069;"Finalizado e solucionado com sucesso";"TORTEL� ALDEOTA";"---";"Simone Tortele - Aldeota,Dayane (Tortelê)";"Falta de Interação";"Guilherme Lima";"30/12/2023 15:53";"30/12/2023 15:54";"Finalizado";"Frente de loja";"Suporte Técnico";;"Interação - Saulo me enviou esse atendimento porem ela não me retornou contato"
2068;"Finalizado e solucionado com sucesso";"MAKETTO - FATIMA";"---";"Erika,Maketto,Felipe";"Movimentação - problema";"Guilherme Lima";"30/12/2023 15:52";"30/12/2023 15:53";"Finalizado";"Frente de loja";"Suporte Técnico";5;"Situação da tabela de preço, foi feito um insert porem alguns produtos tiverem que ser salvos manualmente um a um"
2067;"Finalizado e solucionado com sucesso";"BOLARIA RAFAELA FONTES - AYRTON SENNA";"---";"Vanila Bolaria Rafaela fontes loja 6";"Ipos Desktop (PDV) - duvidas";"Guilherme Lima";"30/12/2023 15:50";"30/12/2023 15:51";"Finalizado";"Frente de loja";"Suporte Técnico";5;"Apenas duvidas, estava travado na tela de envio de documentos em contingencia mas quando eu acessei ja tinha enviado e finalizado, era so isso mesmo"
2066;"Finalizado e solucionado com sucesso";"BUTCHERS 746";"---";"Nagar -Butchers 749";"Ipos Desktop (PDV) - duvidas";"Guilherme Lima";"30/12/2023 15:34";"30/12/2023 15:35";"Finalizado";"Frente de loja";"Suporte Técnico";;"Duvidas com a finalização da venda, informei que o nome ' GERANDO CUPOM ' na tela do PDV fica sempre, basta clicar no ALT TAB que saira"
2065;"Finalizado e solucionado com sucesso";"BOLARIA RAFAELA FONTES - JAGUARARI";"---";"Aldrei (Bolaria RF - Jaguarari)";"API antiga";"Guilherme Lima";"30/12/2023 15:33";"30/12/2023 15:33";"Finalizado";"Frente de loja";"Suporte Técnico";;"Foi reiniciado a API antiga e normalizou as vendas"
2064;"Finalizado e solucionado com sucesso";"BARNEYS BURGER - MT";"---";"Caroline castro,Luziana  - Barneys Aldeota,Flavio Barneys,Barneys (Maria Tomazia),Barneys MT,Pim Foo";"Infraestrutura - problema";"Guilherme Lima";"30/12/2023 15:23";"30/12/2023 15:24";"Finalizado";"Frente de loja";"Suporte Técnico";;"MFE vermelho - Reiniciei o serviço do comunicar e foi normalizado"
2063;"Finalizado e solucionado com sucesso";"BARNEYS E ESTELA - SUL";"---";"David Barneys Sul";"Servidor";"Guilherme Lima";"30/12/2023 14:40";"30/12/2023 14:40";"Finalizado";"Frente de loja";"Suporte Técnico";;"Servidor desligou, ao ligar foi tudo normalizado"
2062;"Finalizado e solucionado com sucesso";"BUTCHERS 746";"---";"Diego,Thaina Alves,Taynah Alves (Butchers 746),Jacinta - Butchers ,Butchers 746,Nagar -Butchers 749";"Servidor";"Guilherme Lima";"30/12/2023 14:39";"30/12/2023 14:40";"Finalizado";"Frente de loja";"Suporte Técnico";4;"Servidor desligou, ao ligar foi tudo normalizado"
2061;"Finalizado e solucionado com sucesso";"BOLARIA RAFAELA FONTES - AYRTON SENNA";"---";"Vanila Bolaria Rafaela fontes loja 6";"Fiscal - problema";"Pedro Henrique";"30/12/2023 13:54";"30/12/2023 13:55";"Finalizado";"Frente de loja";"Suporte Técnico";5;"cliente com a sefaz fora do ar"
2060;"Finalizado e solucionado com sucesso";"Estaleiro do Gaucho";"---";"Julio,Jamila - estaleiro,jOÃO victor - estaleiro do Gaucho";"Infraestrutura - problema / Impressora - erro de impressão";"Pedro Henrique";"30/12/2023 13:07";"30/12/2023 13:07";"Finalizado";"Frente de loja";"Suporte Técnico";4;"cliente com a impressora não compartilhada"
2059;"Finalizado e solucionado com sucesso";"TELHADO CASEIRO PARANGABA";"---";"Claudenir (Telhado Caseiro Parangaba/Eusebio),Regiane - Telhado Caseiro Parangaba,Ivo Barros - Telha";"TEF / Erro ao finalizar venda";"Pedro Henrique";"30/12/2023 13:03";"30/12/2023 13:03";"Finalizado";"Frente de loja";"Suporte Técnico";;"cliente com os caixas com o TEF não iniciado"
2058;"Bug";"REI DO BAI�O";"---";"Grupo Rei do Baião,LUIS MAURO,Beatriz - Rei do Baião,rei do baião";"Movimentação - problema";"Pedro Henrique";"30/12/2023 12:25";"30/12/2023 12:29";"Finalizado";"Frente de loja";"Suporte Técnico";5;"cliente com o relatório de exclusão com horário errado registrando horários de forma errada"
2057;"Finalizado e solucionado com sucesso";"CERVEJARIA TURATTI - KENNEDY";"---";" Eder Maia - Turatti";"Movimentação - problema";"Saulo Felipe";"30/12/2023 12:07";"30/12/2023 12:09";"Finalizado";"Administrativo";"Suporte Técnico";;"Relatório de vendas por vendedor com erro. Ao realizar teste com o usuário do suporte puxou normal as informações. Pedi que realizasse um teste e o usuário confirmou que havia normalizado sendo finalizado o atendimento."
2056;"Finalizado e solucionado com sucesso";"PAO MIX (LOJA 2)";"---";"Socorro Pao mix,Pão Mix (Loja 2 - ARCO)";"Outros";"Saulo Felipe";"30/12/2023 11:40";"30/12/2023 11:41";"Finalizado";"Administrativo";"Suporte Técnico";;"Enviou mensagem por engano e pediu pra desconsiderar"
2055;"Finalizado e solucionado com sucesso";"ANTIQUUS GASTROBAR";"---";"Antiquus Gastrobar,Luiz (Antiqus Gastrobar),Marcela - Antiquus Gastrobar";"Sincronizador";"Pedro Henrique";"30/12/2023 11:37";"30/12/2023 11:38";"Finalizado";"Frente de loja";"Suporte Técnico";;"cliente com o sincronizador fechado e não importando as alterações"
2054;"Finalizado e solucionado com sucesso";"BISCOITOS BRIEJER - QUARTIER";"---";"Andreza,TEKA,Jaqueline - Quartier,Luana - Biscoito Briejer,Sara (Briejer Quartier)";"TEF / Duvida";"Pedro Henrique";"30/12/2023 11:23";"30/12/2023 11:24";"Finalizado";"Frente de loja";"Suporte Técnico";;"cliente para reimprimir a via do TEF"
2053;"Finalizado e solucionado com sucesso";"TORTEL� MEIRELES";"---";"Tortelê Meireles";"Ipos Desktop (PDV) - problema";"Pedro Henrique";"30/12/2023 11:22";"30/12/2023 11:23";"Finalizado";"Frente de loja";"Suporte Técnico";;"cliente para alterar o tempo de atualização do computador"
2052;"Finalizado e solucionado com sucesso";"PANIFICADORA PÃO MIX";"---";"wlademar - pão mix,Claudia - pao mix,Jakeline (Coordenadora Pão Mix)";"Sincronizador / Exportação vendas/caixas";"Saulo Felipe";"30/12/2023 11:12";"30/12/2023 11:16";"Finalizado";"Administrativo";"Suporte Técnico";;"Caixa dia 27/12 (Nathy) não consta no relatório. Acessei o servidor e constatei que o caixa estava preso devido valor da venda Total do Pagamentos 22,50 diferente do Total 22,46. Dev Henrique acessou e resolveu realizando o procedimento via banco de dados."
2051;"Finalizado e solucionado com sucesso";"DAN COOKIES - SHOPPING SOBRAL";"---";"Sales - Dan Cookies (Financeiro) ,Isabele (Dan Cookies Shopping Sobral),Dan cookies";"API antiga / Travada";"Pedro Henrique";"30/12/2023 11:04";"30/12/2023 11:05";"Finalizado";"Frente de loja";"Suporte Técnico";;"cliente com a api antiga fechada"
2050;"Melhoria";"FREITAS EXPRESS - DOM LUSTOSA";"---";"Nívea Costa - Freitas Dom Lustosa,Freitas Dom Lustosa,Camile (Freitas Express)";"Ipos Mobile - duvidas";"Saulo Felipe";"30/12/2023 10:59";"30/12/2023 11:04";"Finalizado";"Frente de loja";"Suporte Técnico";;"Sra. Nívea informou que a cliente desistiu da troca após finalizar o procedimento de troca no PDV e solicitou o cancelamento da troca, porém não é possível atualmente realizar o cancelamento da troca. Como não foi finalizada a venda usando a forma de pagamento Vale Crédito não foi consumada a troca. Sra. Nívea ciente."
2049;"Finalizado e solucionado com sucesso";"ATACADAO COSTA_ GRANJA LISBOA";"---";"ATACADÃO COSTA";"Infraestrutura - problema";"Pedro Henrique";"30/12/2023 10:55";"30/12/2023 10:56";"Finalizado";"Frente de loja";"Suporte Técnico";;"cliente com problemas no teclado"
2048;"Finalizado e solucionado com sucesso";"ATELIER 1913";"---";"Renata,Lara - ATELIER 1913";"Infraestrutura - problema / MFE sem comunicação";"Pedro Henrique";"30/12/2023 09:51";"30/12/2023 09:52";"Finalizado";"Frente de loja";"Suporte Técnico";;"cliente com o MFE vermelho"
2047;"Finalizado e solucionado com sucesso";"FREITAS EXPRESS - TAUA";"---";"Izabel Cristina,Izabel  Cristina,Lindalva (Freitas Tauá),Freitas Express Tauá";"TEF / Erro ao finalizar venda";"Pedro Henrique";"30/12/2023 09:49";"30/12/2023 09:51";"Finalizado";"Frente de loja";"Suporte Técnico";;"cliente com a pasta do PDV sem os arquivos do TEF"
2046;"Finalizado e solucionado com sucesso";"DAN COOKIES - CENTRO SOBRAL";"---";"Bruna Lima - Dan Cookies,Dan cookies,Flavio (Prop) Dancookies";"Infraestrutura - problema / MFE sem comunicação";"Saulo Felipe";"30/12/2023 09:28";"30/12/2023 09:33";"Finalizado";"Frente de loja";"Suporte Técnico";;"Instalação do MFE, porém fica sem comunicação com a Sefaz-CE. Realizado todos os procedimentos possíveis, mas não continua sem comunicação. Sr. Flavio entrou em contato com o suporte da Tanca via ligação (011) - 2626-4153, mas o atendimento é somente de segunda a sexta. Vai entrar em contato na terça feira."
2045;"Finalizado e solucionado com sucesso";"PARRILEIRO RESTAURANTE";"---";"Fabiana,Andreato parrileiro,NAZA,lindenberg,Aline Cardoso - Parrileiro Sul,Parrileiro Sul - Caixa,Na";"Fiscal - duvidas / Emissão de NFe";"Pedro Henrique";"30/12/2023 09:29";"30/12/2023 09:30";"Finalizado";"Frente de loja";"Suporte Técnico";;"cliente pedindo ajudar para fazer uma Nfe"
2044;"Finalizado e solucionado com sucesso";"EMP�RIO CAF� - MESSEJANA";"---";"Gessica - Emporio Cafe - Messejana";"Infraestrutura - problema / MFE sem comunicação";"Saulo Felipe";"30/12/2023 08:36";"30/12/2023 08:42";"Finalizado";"Frente de loja";"Suporte Técnico";;"Erro no equipamento emissor - MFE Sem comunicação. Acessei o computador, reinstalei o driver, mas não normalizou. Após a caixa resetar o ícone ficou branco conseguindo finalizar a venda."
